,医生有无简介,总文章数,log(IST),患者满意度,profession_encoding,城市等级,欢迎词字数,字数平方,city_一线城市,city_二线城市,profession_1,profession_2,profession_3,profession_4,profession_5,T
437,1,0,0.005540426439978296,-9.461234826246352,5,一线城市,0.0,0.0,1,0,0,0,0,0,1,4
438,1,0,0.02585310765255016,-8.83820555858202,4,其他,113.0,12769.0,0,0,0,0,0,1,0,4
439,0,0,0.0,-10.44422326513496,2,其他,0.0,0.0,0,0,0,1,0,0,0,4
440,1,6,0.048942704472640576,3.3505541665451206,5,一线城市,69.0,4761.0,1,0,0,0,0,0,1,4
441,1,0,0.017429313621777073,-9.2154877165242,2,一线城市,0.0,0.0,1,0,0,1,0,0,0,4
442,1,34,0.05983523123637243,-7.575202989118904,5,其他,73.0,5329.0,0,0,0,0,0,0,1,4
443,1,0,0.03671881297717906,-7.881865466576668,5,二线城市,0.0,0.0,0,1,0,0,0,0,1,4
444,1,0,0.024535974736840514,-7.986752167913436,5,一线城市,0.0,0.0,1,0,0,0,0,0,1,4
445,1,0,0.0,-8.565810101976611,5,其他,0.0,0.0,0,0,0,0,0,0,1,4
446,1,7,0.01840087012469872,-10.198476155412811,5,二线城市,0.0,0.0,0,1,0,0,0,0,1,4
447,1,0,0.0431437995340057,1.98819793093462,3,一线城市,0.0,0.0,1,0,0,0,1,0,0,4
448,1,0,0.2617419730193633,-10.44422326513496,5,二线城市,0.0,0.0,0,1,0,0,0,0,1,4
449,1,49,0.10001039832868046,1.0969444842242981,5,一线城市,255.0,65025.0,1,0,0,0,0,0,1,4
450,1,0,0.06272193166201392,-8.504894734241,4,二线城市,0.0,0.0,0,1,0,0,0,1,0,4
451,1,1,0.05990610436225131,-1.4290606547019267,5,一线城市,0.0,0.0,1,0,0,0,0,0,1,4
