,医生有无简介,总文章数,log(IST),患者满意度,欢迎词字数,字数平方,city_一线城市,city_二线城市,profession_1,profession_2,profession_3,profession_4,profession_5,T
58,1,0,0.018845219052587053,-8.169160057938758,0.0,0.0,0,1,0,0,0,1,0,2
59,1,3,0.0389391280968262,3.5595032694671045,76.0,5776.0,1,0,0,0,0,1,0,2
60,0,0,0.00951186948887567,-9.98836915181669,97.0,9409.0,0,0,1,0,0,0,0,2
61,1,1,0.0,-8.491671068167163,0.0,0.0,0,0,0,0,0,1,0,2
62,0,0,0.0,-10.22471453742497,0.0,0.0,0,1,0,0,0,0,1,2
63,1,0,0.0,-10.22471453742497,0.0,0.0,0,1,0,0,0,0,0,2
64,1,0,0.01873385911181958,-9.752023766208406,0.0,0.0,0,1,0,0,0,1,0,2
65,1,5,0.1457180089598808,155.64663364696398,255.0,65025.0,1,0,0,0,0,1,0,2
66,1,0,0.03254943553980916,-9.98836915181669,0.0,0.0,0,1,0,1,0,0,0,2
67,1,0,0.022480179584109805,-8.555685204535203,0.0,0.0,1,0,0,0,0,1,0,2
68,1,3,0.025924206318288713,-9.98836915181669,0.0,0.0,0,0,0,0,0,0,0,2
69,0,0,0.0,-10.22471453742497,0.0,0.0,0,0,0,0,0,0,0,2
70,1,0,0.10015061384992228,-9.98836915181669,0.0,0.0,0,0,0,0,0,0,1,2
71,1,0,0.04728917154359295,-9.27933299499184,0.0,0.0,0,0,0,0,0,0,1,2
72,1,0,0.0,-9.98836915181669,48.0,2304.0,0,0,0,0,0,1,0,2
73,0,0,0.04962250750991232,-6.635698852405366,79.0,6241.0,1,0,0,1,0,0,0,2
74,1,0,0.0,-10.22471453742497,0.0,0.0,1,0,0,0,0,1,0,2
75,1,0,0.0,-10.22471453742497,0.0,0.0,0,1,0,0,0,0,1,2
76,0,2,0.04191558624447954,-10.22471453742497,0.0,0.0,0,0,0,0,0,1,0,2
77,1,12,0.07936829018092724,-9.838189390828527,0.0,0.0,0,1,0,1,0,0,0,2
78,1,0,0.1323361281236794,-9.129153234003676,0.0,0.0,1,0,0,0,0,1,0,2
79,1,18,0.1817639981783744,65.18275185999973,255.0,65025.0,1,0,0,0,0,1,0,2
80,0,4,0.2781424708176938,-6.987433129897339,0.0,0.0,1,0,0,1,0,0,0,2
81,1,0,0.09575271483284463,-10.22471453742497,0.0,0.0,0,0,0,0,0,1,0,2
82,0,0,0.0,-10.22471453742497,0.0,0.0,0,0,0,0,0,0,0,2
83,0,0,0.0,-10.22471453742497,0.0,0.0,1,0,0,0,0,0,0,2
84,0,0,0.0,-9.98836915181669,0.0,0.0,0,0,0,0,0,1,0,2
85,0,0,0.4302026925337991,-10.22471453742497,0.0,0.0,0,1,0,0,0,0,0,2
86,1,0,0.05674505109597904,-9.264721361360055,0.0,0.0,0,1,0,0,0,0,0,2
87,1,8,0.012381658987953839,-8.082994433318639,96.0,9216.0,0,1,0,0,1,0,0,2
88,1,0,0.006563028081250082,-9.042987609383557,255.0,65025.0,0,0,0,0,0,1,0,2
89,1,3,0.08122066480100892,6.522053073220479,37.0,1369.0,1,0,0,0,0,0,1,2
90,1,0,0.0,-9.27933299499184,0.0,0.0,0,1,0,0,0,0,1,2
91,1,2,0.08110298946540466,-7.460123901113907,0.0,0.0,0,1,0,0,0,0,1,2
92,0,1,0.004953080493228017,-9.752023766208406,44.0,1936.0,0,0,0,0,0,0,0,2
93,1,21,0.1327738233775765,-9.98836915181669,101.0,10201.0,1,0,0,1,0,0,0,2
94,1,1,0.01548507985628934,-9.515678380600121,0.0,0.0,0,1,0,0,0,1,0,2
95,1,3,0.043510850323832846,-6.872044238013651,37.0,1369.0,0,1,0,0,0,0,1,2
96,1,18,0.0911427768381543,64.28329639035287,255.0,65025.0,1,0,0,0,0,1,0,2
97,1,0,0.14806914753209827,-8.978973473015511,234.0,54756.0,1,0,0,1,0,0,0,2
98,1,0,0.014738414512759515,-4.596728259330328,0.0,0.0,0,1,0,0,0,0,1,2
99,1,8,0.0031305101299350453,-9.752023766208406,0.0,0.0,0,0,0,0,0,1,0,2
100,0,0,0.06136690747557879,-10.22471453742497,0.0,0.0,0,0,0,1,0,0,0,2
101,1,0,0.1688880207153087,-9.042987609383557,222.0,49284.0,0,0,0,1,0,0,0,2
102,1,0,0.0,-9.98836915181669,0.0,0.0,0,1,0,0,0,1,0,2
103,1,16,0.0492838371101982,-5.761871300960569,54.0,2916.0,0,0,0,0,0,0,1,2
104,1,3,0.007846431953726044,-8.555685204535203,0.0,0.0,0,0,0,1,0,0,0,2
105,1,0,0.09635764381370937,-6.049591442084499,0.0,0.0,0,1,0,0,1,0,0,2
106,1,0,0.06959267295466452,8.758633677240555,87.0,7569.0,1,0,0,0,0,0,1,2
107,1,7,0.1095649127147158,62.98177935719014,0.0,0.0,1,0,0,0,0,0,1,2
108,1,2,0.12755720714376137,-9.515678380600121,252.0,63504.0,1,0,0,0,0,1,0,2
109,1,0,0.0,-9.752023766208406,0.0,0.0,0,0,0,0,0,1,0,2
110,1,0,0.03391536766585295,-8.082994433318639,108.0,11664.0,0,1,0,0,0,1,0,2
111,1,5,0.08843214440620373,-9.838189390828527,0.0,0.0,0,0,0,1,0,0,0,2
112,0,0,0.06749034632806933,-9.028375975751771,0.0,0.0,0,1,0,1,0,0,0,2
113,1,0,0.008371165210605642,-10.22471453742497,0.0,0.0,0,0,0,0,0,1,0,2
114,1,0,0.00867890514972308,-9.515678380600121,0.0,0.0,0,0,0,0,0,0,1,2
115,1,1,0.08246798432708044,-8.082994433318639,0.0,0.0,0,1,0,0,0,0,1,2
116,1,0,0.2470458749809774,-10.22471453742497,224.0,50176.0,0,0,0,0,0,1,0,2
117,1,7,0.039997350374172534,-9.98836915181669,0.0,0.0,0,0,0,1,0,0,0,2
118,0,0,0.0,-9.98836915181669,0.0,0.0,0,0,0,0,0,0,0,2
119,1,0,0.46380434322747494,-9.028375975751771,0.0,0.0,1,0,0,0,0,1,0,2
120,1,0,0.039281563963328804,-8.792030590143488,0.0,0.0,0,1,0,0,0,0,1,2
121,0,0,0.0,-10.22471453742497,0.0,0.0,0,0,0,0,0,0,0,2
122,1,0,0.0,-10.22471453742497,0.0,0.0,0,0,0,1,0,0,0,2
123,1,24,0.0749610159162476,105.36214675763505,255.0,65025.0,1,0,0,0,0,1,0,2
124,1,2,0.029798389061201788,-7.91820303869869,0.0,0.0,1,0,0,0,0,0,1,2
125,1,0,0.015362079118797417,-10.22471453742497,0.0,0.0,1,0,0,0,0,0,0,2
126,1,0,0.0,-8.333951452558704,0.0,0.0,0,1,0,0,0,1,0,2
127,1,0,0.0,-9.264721361360055,0.0,0.0,0,0,0,0,0,0,1,2
128,0,0,0.09694020978239075,-9.129153234003676,0.0,0.0,0,1,0,0,0,0,1,2
129,1,7,0.10719666207425001,92.73414687969387,218.0,47524.0,0,1,0,0,0,1,0,2
130,1,40,0.04404409433615536,-2.7463236454094324,255.0,65025.0,0,1,0,0,0,0,1,2
131,1,0,0.009810237643901988,-10.22471453742497,0.0,0.0,0,1,0,0,0,1,0,2
132,0,0,0.0,-10.22471453742497,0.0,0.0,0,1,0,1,0,0,0,2
133,1,1,0.003983764610583108,-9.752023766208406,0.0,0.0,1,0,0,1,0,0,0,2
134,1,9,0.15723960246762142,199.1320744582299,0.0,0.0,1,0,0,0,0,1,0,2
135,1,8,0.1500148553937254,-5.025584129651532,62.0,3844.0,1,0,0,0,0,0,1,2
136,1,0,0.023737536933022663,-6.901267505277226,0.0,0.0,1,0,0,0,0,0,1,2
137,1,0,0.023897077786701065,-9.028375975751771,0.0,0.0,0,1,0,0,1,0,0,2
138,1,4,0.10591999109630675,-10.22471453742497,255.0,65025.0,0,0,0,0,0,1,0,2
139,0,0,0.0,-10.22471453742497,0.0,0.0,0,0,0,1,0,0,0,2
140,1,4,0.079592844381322,21.272518603082972,0.0,0.0,1,0,0,0,0,0,1,2
141,1,0,0.012016487991867277,-9.042987609383557,0.0,0.0,0,1,0,0,1,0,0,2
142,1,7,0.08596231850514456,-7.344735009230216,0.0,0.0,0,1,0,1,0,0,0,2
143,1,5,0.03183445284786507,-8.792030590143488,63.0,3969.0,0,0,0,1,0,0,0,2
144,1,1,0.08418906201498288,-6.872044238013651,85.0,7225.0,0,1,0,0,0,1,0,2
145,1,0,0.0,-9.028375975751771,0.0,0.0,1,0,0,0,0,1,0,2
146,0,0,0.0,-10.22471453742497,0.0,0.0,0,1,0,1,0,0,0,2
147,1,5,0.01727263971265048,-7.1083896236219335,79.0,6241.0,1,0,0,0,0,0,1,2
148,1,1,0.09217278092791403,-9.264721361360055,0.0,0.0,0,0,0,0,0,1,0,2
149,0,0,0.0,-10.22471453742497,0.0,0.0,0,0,0,0,0,0,0,2
150,1,0,0.3294966002460515,-10.22471453742497,0.0,0.0,1,0,0,0,0,0,0,2
151,0,0,0.0,-10.22471453742497,0.0,0.0,0,0,0,1,0,0,0,2
152,1,0,0.0,-9.028375975751771,0.0,0.0,0,1,0,0,0,0,0,2
153,1,0,0.036211349015111576,-10.22471453742497,0.0,0.0,0,1,0,1,0,0,0,2
154,1,40,0.07997851534461371,-0.4892146494194076,65.0,4225.0,0,0,0,0,0,0,1,2
155,1,0,0.023140936461763194,-9.264721361360055,0.0,0.0,1,0,0,0,0,0,0,2
156,0,0,0.3135144095908078,-9.98836915181669,0.0,0.0,1,0,0,0,0,1,0,2
157,1,17,0.018286547923316118,-8.792030590143488,255.0,65025.0,1,0,0,1,0,0,0,2
158,1,11,0.03005894196943218,-8.57029683816699,226.0,51076.0,1,0,0,0,0,0,1,2
159,1,0,0.008629421075792515,-9.27933299499184,0.0,0.0,1,0,0,1,0,0,0,2
160,0,0,0.0,-10.22471453742497,0.0,0.0,0,1,0,0,0,1,0,2
161,1,0,0.08705010421636221,-10.22471453742497,0.0,0.0,0,0,0,0,0,1,0,2
162,0,0,0.0,-10.22471453742497,0.0,0.0,0,1,0,0,0,1,0,2
163,1,0,0.0,-9.752023766208406,0.0,0.0,1,0,0,0,0,0,0,2
164,1,0,0.0,-9.601844005220242,0.0,0.0,0,1,0,0,0,1,0,2
165,1,1,0.014227656531398892,-7.632455150354148,0.0,0.0,0,1,0,0,0,0,1,2
166,0,0,0.0,-9.98836915181669,0.0,0.0,1,0,0,0,0,0,0,2
167,1,0,0.043619971910986016,-8.405505443547039,0.0,0.0,0,1,0,0,0,1,0,2
168,0,0,0.0,-10.22471453742497,0.0,0.0,0,0,0,1,0,0,0,2
169,1,3,0.1441071289681019,-9.042987609383557,0.0,0.0,0,0,0,0,0,0,1,2
170,1,5,0.047511428627416794,-10.22471453742497,76.0,5776.0,0,0,0,1,0,0,0,2
171,1,0,0.0011257146861715643,-7.560901159365815,0.0,0.0,0,1,0,0,0,0,1,2
172,1,0,0.0,-9.264721361360055,0.0,0.0,0,0,0,0,0,0,1,2
173,1,0,0.0,-9.042987609383557,0.0,0.0,0,1,0,0,0,0,1,2
174,1,3,0.19672770897231578,-4.094814220850184,102.0,10404.0,1,0,0,0,0,1,0,2
175,1,3,0.2457828925335927,-9.515678380600121,0.0,0.0,0,0,0,0,0,1,0,2
176,0,2,0.060922482280029784,-5.0749866323877955,87.0,7569.0,0,1,0,0,0,1,0,2
177,0,0,0.15699423499057355,-10.22471453742497,0.0,0.0,0,0,0,0,0,1,0,2
178,0,0,0.0,-10.22471453742497,0.0,0.0,0,0,0,0,0,0,1,2
179,1,0,0.01490373896236769,-9.752023766208406,0.0,0.0,1,0,0,0,0,0,1,2
