,医生有无简介,总文章数,log(IST),患者满意度,profession_encoding,城市等级,欢迎词字数,字数平方,city_一线城市,city_二线城市,profession_1,profession_2,profession_3,profession_4,profession_5,T
0,0,0,0.0,-10.345688027461472,2,一线城市,0.0,0.0,1,0,0,1,0,0,0,3
1,1,0,0.01679061155801566,-10.34568802746135,4,其他,0.0,0.0,0,0,0,0,0,1,0,3
2,1,0,0.0,-9.861492075100372,4,二线城市,0.0,0.0,0,1,0,0,0,1,0,3
3,1,1,0.0024147663425853967,-9.619394098919798,4,一线城市,0.0,0.0,1,0,0,0,0,1,0,3
4,1,1,0.004478104204775707,-5.774719634598934,5,二线城市,0.0,0.0,0,1,0,0,0,0,1,3
5,1,3,0.09134689718297723,47.43544143125484,4,一线城市,249.0,62001.0,1,0,0,0,0,1,0,3
6,1,0,0.0,-9.861492075100351,4,其他,0.0,0.0,0,0,0,0,0,1,0,3
7,1,0,0.022587986982651458,-6.316801973595716,4,一线城市,0.0,0.0,1,0,0,0,0,1,0,3
8,0,0,0.0,-9.221977687762305,5,其他,0.0,0.0,0,0,0,0,0,0,1,3
9,0,0,0.008091062802996988,-10.345688027461449,4,其他,0.0,0.0,0,0,0,0,0,1,0,3
10,1,0,0.027967236739998774,-7.285193878317914,5,一线城市,0.0,0.0,1,0,0,0,0,0,1,3
11,1,0,0.006037626834860434,-8.661654701335262,5,二线城市,0.0,0.0,0,1,0,0,0,0,1,3
12,0,3,0.1659748436505426,-10.345688027461449,5,一线城市,47.0,2209.0,1,0,0,0,0,0,1,3
13,1,11,0.03287743858214826,-7.129875443340968,4,二线城市,255.0,65025.0,0,1,0,0,0,1,0,3
14,1,4,0.007828994514678363,-9.377296122739251,4,二线城市,42.0,1764.0,0,1,0,0,0,1,0,3
15,0,4,0.1337497315216044,-9.15343879398896,2,二线城市,0.0,0.0,0,1,0,1,0,0,0,3
16,0,0,0.02450659502682106,-10.103590051280898,0,二线城市,0.0,0.0,0,1,0,0,0,0,0,3
