,医生有无简介,总文章数,log(IST),患者满意度,profession_encoding,城市等级,欢迎词字数,字数平方,city_一线城市,city_二线城市,profession_1,profession_2,profession_3,profession_4,profession_5,T
270,0,10,0.005751457818227215,-10.097708035728198,0,其他,237.0,56169.0,0,0,0,0,0,0,0,1
271,1,0,0.004571039253534078,-9.864237569377984,4,一线城市,0.0,0.0,1,0,0,0,0,1,0,1
272,1,0,0.0,-8.436052305610003,1,其他,0.0,0.0,0,0,1,0,0,0,0,1
273,0,0,0.0,-9.864237569377984,4,其他,0.0,0.0,0,0,0,0,0,1,0,1
274,1,0,0.014143927300225697,-9.136463704660644,4,其他,0.0,0.0,0,0,0,0,0,1,0,1
275,1,7,0.21507007267457565,-9.864237569377984,4,二线城市,57.0,3249.0,0,1,0,0,0,1,0,1
276,1,0,0.266105815636444,-7.762686515353797,2,一线城市,0.0,0.0,1,0,0,1,0,0,0,1
277,0,6,0.10102586716264336,-8.902993238310428,2,一线城市,71.0,5041.0,1,0,0,1,0,0,0,1
278,1,9,0.07225770461273386,8.051733097173734,5,二线城市,0.0,0.0,0,1,0,0,0,0,1,1
279,0,1,0.011035787393331994,-9.864237569377984,0,二线城市,0.0,0.0,0,1,0,0,0,0,0,1
280,1,0,0.0,-10.097708035728198,4,其他,0.0,0.0,0,0,0,0,0,1,0,1
281,0,0,0.04146497034740253,-10.097708035728198,2,其他,81.0,6561.0,0,0,0,1,0,0,0,1
282,1,0,0.018495666176620493,-8.256989913720926,4,一线城市,0.0,0.0,1,0,0,0,0,1,0,1
283,1,1,0.13060885317033216,154.60915179467216,5,二线城市,99.0,9801.0,0,1,0,0,0,0,1,1
284,1,0,0.0,-9.630767103027768,4,其他,0.0,0.0,0,0,0,0,0,1,0,1
285,1,0,0.08062442723115358,-1.9256079997262048,5,二线城市,0.0,0.0,0,1,0,0,0,0,1,1
286,1,3,0.07026233949106928,-6.187869476950488,5,一线城市,0.0,0.0,1,0,0,0,0,0,1,1
287,0,25,0.09050346908016227,43.069061873844944,2,二线城市,46.0,2116.0,0,1,0,1,0,0,0,1
288,1,0,0.009171298385604224,-9.864237569377984,5,二线城市,0.0,0.0,0,1,0,0,0,0,1,1
289,0,0,0.050225017882602765,-7.323108048320071,4,一线城市,0.0,0.0,1,0,0,0,0,1,0,1
